nickName,Combination,Cover 0,Cover 1,Cover 2,Cover 3,Cover 4,Cover 6,Man Cover 2,Other,Prevent,Screen
49ers,,0.0,0.5197707736389683,0.2598566308243728,0.4962264150943397,0.7421686746987954,1.0674418604651164,0.23085106382978726,0.5800000000000001,2.1,1.1239669421487604
Bears,,0.1357142857142857,0.5194117647058822,0.44387755102040816,0.2479871175523349,0.2245360824742268,0.3975609756097561,0.7766666666666668,0.7461538461538461,0.05753424657534247,1.3652173913043484
Bengals,,1.846666666666667,0.314902807775378,0.22642857142857145,0.6170329670329671,0.4609223300970873,0.21222222222222226,0.4424528301886793,0.2,1.3666666666666665,0.8191489361702128
Bills,2.075,0.5787878787878789,0.23892617449664424,0.21448467966573814,0.18083333333333326,0.2892265193370166,0.292156862745098,0.3082278481012659,0.4,2.1333333333333333,0.7441379310344826
Broncos,0.1777777777777778,0.8956521739130435,0.3764367816091954,0.15902255639097745,0.2400606980273141,0.4221804511278196,1.6214285714285717,0.6089108910891088,,0.1105263157894737,2.4172413793103456
Browns,,1.3611111111111112,0.305531914893617,0.4077669902912621,0.4853960396039606,1.0063953488372093,1.3482758620689657,0.17707006369426753,,0.3333333333333333,1.024137931034483
Buccaneers,0.16666666666666666,0.5894736842105263,0.22610294117647065,0.2,0.5841637010676157,0.2734870317002881,0.10396039603960396,0.18524590163934426,,0.14545454545454548,0.7928571428571428
Cardinals,,0.4981132075471698,0.4158536585365856,0.1348837209302326,0.5498969072164945,0.3421276595744681,0.1201923076923077,0.6915254237288136,0.96,1.0583333333333331,0.5192307692307693
Chargers,0.1,0.13392857142857142,0.22043478260869576,0.2331428571428571,0.3315858453473131,0.2635678391959799,0.5808219178082191,0.2588709677419355,,0.4941176470588236,1.113698630136987
Chiefs,0.27,26.25000000000001,0.5661290322580644,0.5657068062827226,0.3849765258215963,0.1549019607843137,0.4641025641025641,0.13607038123167156,,0.2444444444444445,0.5610169491525424
Colts,0.42,0.9057142857142856,0.24012474012474014,0.4345744680851063,0.3931506849315069,0.3714285714285717,0.59672131147541,0.4222222222222222,0.0,0.10434782608695654,0.5218487394957984
Cowboys,0.75,0.12625000000000006,0.4071929824561403,0.09325,0.2808877928483353,0.23534246575342466,0.13548387096774192,0.11237113402061856,,0.0,0.8226086956521741
Dolphins,,0.9472222222222224,0.2345514950166113,0.1683794466403162,0.4088235294117648,0.21896551724137928,,0.5066666666666667,,1.175,1.2915254237288134
Eagles,0.35000000000000003,0.19743589743589746,0.2898823529411765,1.0083969465648852,0.3856850715746421,0.6530054644808745,0.5,0.2710144927536232,,,0.5463276836158191
